_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
1432,Intercontinental Boston - Clipper Room,,500 Atlantic,Boston,MA,02210,Active,FS,Eating & Drinking,2024-05-15 15:34:22.407+00,6177471000,6181,42.354099999751384,-71.05228000118916
1433,Intercontinental Boston - Matria,,500 Atlantic,Boston,MA,02210,Active,FS,Eating & Drinking,2024-05-15 15:33:29.56+00,6177471000,6181,42.354099999751384,-71.05228000118916
1434,International House of Pancake,,1850 SOLDIERS FIELD,BRIGHTON,MA,02135,Active,FS,Eating & Drinking,2006-12-07 18:34:03+00,6612948877,,42.35863007292863,-71.1573005963026
1435,Invi Restaurant,,761 Morton,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,2018-01-23 16:50:14.313+00,6173223716,97788,42.283411816797404,-71.08938617258012
1436,Irashai Sushi and Teriyaki,,8 Kneeland,Boston,MA,02111,Active,FS,Eating & Drinking,2011-04-05 15:29:26+00,6173506888,156344,42.35103922398732,-71.06255976901404
1437,Irish Village Inc.,,224 Market,Brighton,MA,02135,Active,FS,Eating & Drinking,2006-12-07 18:34:06+00,6177875427,90180,42.35490999933274,-71.14966000122497
1438,Isabella Restaurant,,2 Prince,Boston,MA,02113,Active,FS,Eating & Drinking,2021-11-02 17:43:23.953+00,,112876,42.3640300000859,-71.0536300017273
1439,Island Creek Oyster Bar #1,,99 Autumn,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-04-07 14:12:51.24+00,7819342028,437724,42.35074840574919,-71.04588713161903
1440,Island Creek Oyster Bar #2,,99 Autumn,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-04-07 14:47:08.39+00,7819342028,437724,42.35074840574919,-71.04588713161903
1441,Island Creek Raw Bar #3,,99 Autumn,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-04-16 18:25:39.84+00,7819342028,437724,42.35074840574919,-71.04588713161903
1442,Island Creek Raw Bar #4,,99 Autumn,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-04-16 18:25:41.053+00,7819342028,437724,42.35074840574919,-71.04588713161903
1443,Island Cuisine Restaurant and Bakery,,554 Dudley,Dorchester,MA,02125,Active,FS,Eating & Drinking,2025-01-24 19:53:42.143+00,6177080013,341148,42.321297654770596,-71.07204058168567
1444,ISLAND STYLE INC.,,183 Washington,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:08+00,6173615485,158297,42.30334992270578,-71.07876065989066
1445,Isshindou Ramen,,1 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2019-01-29 17:20:37.93+00,,157732,42.352411055760506,-71.12532952455528
1446,Istanbul Doner Burrito,,350 Longwood,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2024-11-14 17:55:35.09+00,6175056265,156578,42.33817999970623,-71.10648000164196
1447,Italian Pizza & Sub Express,,162 South,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,2016-10-03 16:09:25.633+00,6173905301,169797,42.30410168059487,-71.11445201387866
1448,Jacques,,77 Broadway,Boston,MA,02215,Active,FS,Eating & Drinking,2006-12-07 18:33:54+00,5364053,157703,42.34995771659508,-71.06744089366849
1449,Jade Garden Restaurant,LCY  Inc.,20 Tyler,Boston,MA,02111,Active,FS,Eating & Drinking,2009-06-04 16:49:05+00,6174233288,138814,42.35069000007065,-71.06057000050971
1450,Jadu,,767 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2024-01-04 16:47:37.54+00,6174773289,163050,42.310187839479255,-71.11537478339142
