_id,businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
1,100 Federal Market & Barista- 10th Floor,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-08-09 16:00:26.99+00,6174345000,57150,42.354770000088834,-71.0561300019333
2,100 Federal Market & Barista- 11th Floor,,100 Federal,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2021-01-12 15:37:24.463+00,6174345000,57150,42.354770000088834,-71.0561300019333
3,100 Federal Smoothie Bar- 11th Floor,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-12-26 15:36:08.637+00,6174345000,57150,42.354770000088834,-71.0561300019333
4,110 Grill,,25 Jan Karski,Dorchester,MA,02125,Active,FS,Eating & Drinking,2018-11-29 19:14:04.217+00,9786929450,421286,42.325194557803286,-71.06117833204564
5,129 Lake Street Cafe,,127 LAKE,Brighton/,MA,02135,Active,FS,Eating & Drinking,2010-10-14 16:49:26+00,5084463942,0,,
6,149 Eat Street,,300 CHELSEA,Charlestown/,MA,02129,Active,FS,Eating & Drinking,2007-10-11 13:08:52+00,6177262520,0,,
7,163 Vietnamese Sandwich,,66 Harrison,Boston,MA,02111,Active,FS,Eating & Drinking,2007-08-09 17:26:45+00,6175427903,69990,42.351289999949145,-71.06105000119224
8,1928 Beacon Hill,,97 Mount Vernon,Boston,MA,02108,Active,FS,Eating & Drinking,2021-10-05 16:30:10.363+00,8572335662,98781,42.35805999981849,-71.06972000155524
9,1928 Rowes Wharf,,30 Rowes,Boston,MA,02110,Active,FS,Eating & Drinking,2025-09-19 13:38:05.673+00,6179826010,156152,42.35664237589748,-71.05030911199451
10,1st Floor Cafe @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:25.153+00,,158017,42.35055564807489,-71.06286082550342
11,200 Club - 3rd Fl.,,200 Clarendon,Boston,MA,02116,Active,FS,Eating & Drinking,2024-06-05 17:20:20.83+00,,33209,42.34921000046016,-71.07513000164919
12,20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6173645274,77089,42.25681999986055,-71.12411000050824
13,211 Better Bagels,,211 Congress,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2022-05-17 18:20:52.983+00,5084239773,358043,42.354680000025105,-71.05494000172826
14,21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6172277100,158193,42.35833625776443,-71.06258112499432
15,224 BOSTON,,224 Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,2018-08-01 19:20:09.77+00,6172651217,156048,42.32227215594667,-71.06084832964727
16,311,,605 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2022-08-01 15:00:41.393+00,,137766,42.34314000064306,-71.07364000070825
17,320 Cafe,,314 Spring,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2017-08-23 17:20:17.51+00,3057851745,157799,42.271712713121644,-71.17211042683964
18,3rd Floor @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:08.557+00,,158017,42.35055564807489,-71.06286082550342
19,410- North End Butcher,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-01-28 16:01:15+00,6176241610,,,
20,417-Sal's Pizza,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2009-02-01 16:31:47+00,6176241610,,,
21,50/50 Lounge,,1 Dalton,Boston,MA,02115,Active,FS,Eating & Drinking,2020-07-02 15:47:22.463+00,6175301741,437941,42.34577356277369,-71.08404592672916
22,521  Function Kitchen,,4 Jersey,Boston,MA,02215,Active,FS,Eating & Drinking,2022-02-22 19:26:20.017+00,6179825146,424258,42.34673007807398,-71.0986629781914
23,5W Bar,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2024-08-08 15:35:05.86+00,6176241610,340814,42.36616322384503,-71.06194055953804
24,728 Causeway Cones,,100 Legends,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2011-01-11 14:09:30+00,6176241610,340814,42.36616322384503,-71.06194055953804
25,753 South,,749 South,Roslindale,MA,02131,Active,FS,Eating & Drinking,2017-04-21 17:23:42.06+00,6176204626,128941,42.28715999960239,-71.12912000130427
26,75 CHESTNUT,,75 Chestnut,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:34:54+00,6172272175,31472,42.3568980001237,-71.07097100104212
27,75 On Liberty Wharf,,220 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,2012-05-18 14:28:35+00,6178547631,342823,42.34910346272386,-71.03888919782614
28,7th Street Burger,,267 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2025-11-19 16:12:45.357+00,,101480,42.34955400002835,-71.08350500195122
29,7th Street Burger,,473 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2025-11-19 15:19:42.17+00,,21556,42.33554999972772,-71.04611000067257
30,89 Broad Street/Fin Point,,89 Broad,Boston,MA,02110,Active,FS,Eating & Drinking,2016-08-04 13:06:04.353+00,6173481234,20586,42.35743999985702,-71.05316000139499
31,89 Charles,,89 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,2025-04-08 14:46:22.987+00,5705104050,29200,42.35858999972489,-71.07049000124772
32,99 RESTAURANT AND PUB,,29 Austin,Charlestown,MA,02129,Active,FS,Eating & Drinking,2006-12-07 18:34:27+00,6152568500,155829,42.37483494941711,-71.06700849971799
33,9 Thai Express,,433 Cambridge,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2021-08-30 19:34:24.25+00,6175950409,351877,42.35512300049573,-71.13406200067374
34,AAA Restaurant ,,3141 Washington,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,2023-08-09 16:33:38.033+00,8573408008,144632,42.3141560000089,-71.1002150012691
35,A & B Burgers,,97 Beverly,Boston,MA,02114,Active,FS,Eating & Drinking,2018-07-16 16:05:13.79+00,6175964339,419694,42.3655510630171,-71.05936272833364
36,A + B Burgers,,401 Park,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2024-03-25 15:19:51.347+00,6175964339,156914,42.344449188410294,-71.10287028370084
37,ABE & LOUIE'S,,793 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2011-04-04 19:19:34+00,6175364200,18399,42.34922199605716,-71.0815801390581
38,ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,,306 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,2012-01-17 17:47:36+00,6177371773,,,
39,Abuelas Table,,416 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2024-02-01 18:53:00.553+00,6179824692,351528,42.32074708369008,-71.1103083716029
40,Acapella By X,,1503 Dorchester,Dorchester,MA,02122,Active,FS,Eating & Drinking,2025-06-02 16:01:00.187+00,6172864620,48337,42.29929117778281,-71.06064894194996
41,Acapulco Mexican Restaurant,,466 CENTRE,JAMAICA PLAIN,MA,02130,Active,FS,Eating & Drinking,2006-12-07 18:34:15+00,6175244328,,,
42,Aceituna,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2018-05-30 16:57:10.273+00,,358023,42.354770000084144,-71.05613000071953
43,Aceituna Grill,,99 Seaport,Boston,MA,02210,Active,FS,Eating & Drinking,2016-06-20 15:02:50.28+00,6172520707,350792,42.35117453241631,-71.04541115925554
44,Achilitos Taqueria,,38 Hyde Park,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,2018-01-24 16:26:17.697+00,6179875465,352202,42.29886730905778,-71.1139925844729
45,AC Hotel by Marriot,,225 Albany,Roxbury,MA,02118,Active,FS,Eating & Drinking,2016-04-25 13:21:47.71+00,7819533682,419340,42.34509706918971,-71.06195643251097
46,AC Hotel by Marriott,,395 Chestnut Hill,Brighton,MA,02135,Active,FS,Eating & Drinking,2016-06-13 18:08:14.38+00,6038976100,419814,42.334664717661525,-71.15076940808886
47,Adams B & B,,12 Edgerly,Boston,MA,02115,Active,FS,Eating & Drinking,2023-11-17 16:42:41.23+00,6175364181,51167,42.346059999952594,-71.08786000029565
48,ADK Sandwich Shop,,421 Bowdoin,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2021-08-13 14:35:35.983+00,,378654,42.31045000002961,-71.06204000096207
49,AFC Sushi @ Shaws #3696,AFC Sushi @ Shaws #3696,50 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2019-09-13 19:01:32.427+00,8546172415,423632,42.3653920556944,-71.06217783746371
50,AFC SUSHI @SIMMONS COLLEGE,,300 Fenway,Boston,MA,02115,Active,FS,Eating & Drinking,2010-08-20 14:13:45+00,6173649375,57444,42.33930999984839,-71.09996000108146
51,AFC Sushi @ Walgreens #15390,,10 School,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2013-04-24 17:58:51+00,3106043200,169533,42.357327629454545,-71.05896829287836
52,AFC Zenshi @ Shaws #1208,,246 Border,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2018-06-05 14:32:34.187+00,6172624688,155969,42.37667473381117,-71.04025589699377
53,AFC Zenshi @Star Market #3577,,75 Spring,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2018-01-31 16:31:57.36+00,6173270564,129598,42.27871000013407,-71.16330000216672
54,Afrito,,196 Quincy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2026-05-14 14:58:17.767+00,8572431630,377254,42.31306866790966,-71.07391936327326
55,Agavero Guac and Margs,,11 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2025-09-16 18:29:51.613+00,6177524044,21378,42.3424063937799,-71.05672043999976
56,Agganis Arena-FS,,925 Commonwealth,Boston,MA,02215,Active,FS,Eating & Drinking,2022-08-25 16:12:03.143+00,6173587000,156282,42.35216635174325,-71.11768033870285
57,Agganis Arena-Stand 1,,925 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:35:11.7+00,6173587000,156282,42.35216635174325,-71.11768033870285
58,Agganis Arena-Stand 2,,925 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:43:53.82+00,6173587000,156282,42.35216635174325,-71.11768033870285
59,Agganis Arena-Stand 3,,925 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:46:01.26+00,6173587000,156282,42.35216635174325,-71.11768033870285
60,Agganis Arena-Stand 4,,925 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:47:50.04+00,6173587000,156282,42.35216635174325,-71.11768033870285
61,Agganis Arena-Stand 5,,925 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-08-25 16:49:45.49+00,6173587000,156282,42.35216635174325,-71.11768033870285
62,Airist Boston @ Air France Lounge,,500 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2025-06-25 17:29:32.547+00,7744569041,341351,42.36990420124479,-71.01943927546833
63,Ajeen,,1219 Commonwealth,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2019-02-27 14:45:44.463+00,,157940,42.35075508231867,-71.13087000863769
64,AK's Takeout,,1350 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2024-07-30 14:23:02.32+00,6175412457,341254,42.33180537912831,-71.0930905025686
65,A K's Take Out & Delivery,,1427 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2007-10-31 19:33:00+00,6175410300,136818,42.331858000167124,-71.09633300084923
66,Alamo Drafthouse,,23 Northern,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2023-02-21 15:59:37.983+00,,352651,42.353425169987005,-71.0476118790756
67,Alcove,,131 Beverly,Boston,MA,02114,Active,FS,Eating & Drinking,2017-09-13 17:15:03.423+00,7745268386,172189,42.36703034454807,-71.06008608974878
68,AL DENTE RISTORANTE,,109 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:30+00,6175230990,121695,42.36421000057258,-71.0553600005196
69,ALEX PIZZA,,1252 Washington,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:33+00,6178339626,157038,42.34230145075851,-71.06737856403372
70,ALEX'S CHIMIS,,358 CENTRE,JAMAICA PLAIN,MA,02130,Active,FS,Eating & Drinking,2006-12-07 18:35:02+00,6175225201,,42.32230390234235,-71.10755127180592
71,ALFREDO'S,,229 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:52+00,6175628222,156216,42.3536791188135,-71.1356698532365
72,ALFREDO'S ITALIAN KITCHEN,,243 Dorchester,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:02+00,6174581231,156257,42.332855058018524,-71.05131803697124
73,Ali Baba,,99A Cambridge,Charlestown,MA,02129,Active,FS,Eating & Drinking,2020-01-23 18:03:32.517+00,6173986902,351905,42.382540000107355,-71.0792000012387
74,Alibi,,215 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,2011-12-14 13:20:31+00,8572411144,160740,42.362030354140245,-71.07036209744672
75,All'Antico Vinaio,,330 Washington,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2026-03-11 18:36:11.903+00,,171039,42.35668828668093,-71.05869034990143
76,All'Antico Vinaio,,565 Boylston,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2025-04-24 14:27:37.963+00,,18349,42.3506540007236,-71.07636800028301
77,ALLIS ROTI + MEAT MARKET,,1188 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:12+00,6172989850,16183,42.283770000320025,-71.09129000212218
78,All Spice Restaurant,,41 Worcester,Roxbury,MA,02118,Active,FS,Eating & Drinking,2022-07-13 16:52:12.673+00,6172665300,152332,42.3358699998706,-71.07420000201827
79,Alma Cantina,,15 Union,Boston,MA,02108,Active,FS,Eating & Drinking,2021-06-25 16:45:13.517+00,6178350438,139286,42.36081860189342,-71.05671524947535
80,Alma Gaucha,,401 D,Boston,MA,02210,Active,FS,Eating & Drinking,2020-02-04 18:53:35.71+00,6174204900,355423,42.343592543707445,-71.04466693492783
81,Aloe Natural Acai $ Coffee Shop,,256 Marginal,East Boston,MA,02128,Active,FS,Eating & Drinking,2024-06-03 14:06:12.76+00,8573919523,393516,42.36425649799056,-71.03267228714992
82,Aloft Boston Seaport Hotel,,401 D,Boston,MA,02210,Active,FS,Eating & Drinking,2021-12-29 16:20:56.297+00,6175301600,355423,42.343592543707445,-71.04466693492783
83,Aloft Boston Seaport Hotel Refuel,,401 D,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2021-12-29 16:30:46.133+00,6175301600,355423,42.343592543707445,-71.04466693492783
84,AL'S CAFÉ,,27 Dry Dock,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2021-04-14 15:40:27.41+00,6172811443,49599,42.344273524601675,-71.02802345438896
85,Al's High Street Cafe,,176 High,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2025-06-12 16:01:44.407+00,9782211564,73285,42.356668329142515,-71.0525564506071
86,Al's School Street Cafe,,27 School,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2025-06-12 15:58:53.393+00,9782211564,156054,42.357719151851185,-71.05907051420638
87,Al's South Street Cafe,,179 Essex,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2024-07-11 14:46:38.663+00,6177205555,54296,42.352067218998634,-71.05756747698803
88,Al's State Street Cafe,,112 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2024-07-11 14:38:54.447+00,6177205555,351886,42.359282035196834,-71.0548727684754
89,Alta Strada/AM2-A03/29,,100 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2019-05-09 19:00:04.663+00,3052678510,341357,42.364539860564015,-71.02181743285618
90,Alumni 1,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:48:17+00,6175523307,172185,42.33528927232475,-71.16749169530911
91,Alumni 2,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 13:51:09+00,6175523307,172185,42.33528927232475,-71.16749169530911
92,Alumni 3,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:06:10+00,6175523307,172185,42.33528927232475,-71.16749169530911
93,Alumni 4,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:09:18+00,6175523307,172185,42.33528927232475,-71.16749169530911
94,Alumni 5,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-06-03 14:11:42+00,6175523307,172185,42.33528927232475,-71.16749169530911
95,Al-Wadi Restaurant,,1249 VFW,West Roxbury,MA,02132,Active,FS,Eating & Drinking,2010-07-28 12:29:14+00,6173233236,140286,42.27724000004449,-71.17261000104916
96,AMA,,30 Western,Allston,MA,02134,Active,FS,Eating & Drinking,2025-05-09 15:16:34.38+00,,456798,42.36361843600092,-71.12181988860992
97,Amber Road,,100 Federal,Boston,MA,02110,Active,FS,Eating & Drinking,2023-06-01 16:31:56.29+00,6178699018,57150,42.354770000088834,-71.0561300019333
98,AMC Causeway at the Garden 13,,60 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2023-02-21 15:05:36.347+00,6172754104,439200,42.3653920556944,-71.06217783746371
99,AMC South Bay 12 (Concession),,21 District,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2016-10-31 17:23:02.547+00,,420661,42.32572375144032,-71.0622261670595
100,AMC South Bay 12 (MacGuffins),,21 District,Dorchester,MA,02125,Active,FS,Eating & Drinking,2016-10-31 17:32:07.47+00,,420661,42.32572375144032,-71.0622261670595
101,AMC Theatres Boston Common 19,,175 Tremont,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:25+00,8164805862,137447,42.35314999984945,-71.06403000141228
102,Amelia's Cluck & Smash,,309 Huntington,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2014-11-07 13:52:00.48+00,6172660040,155730,42.34119601267993,-71.08765979933939
103,Amelia's Taqueria,,1076 Boylston,Boston,MA,02115,Active,FS,Eating & Drinking,2018-08-15 18:17:22.007+00,6173658220,158326,42.34695712991131,-71.08795705777361
104,American Airlines Club Boston,,200 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2018-03-23 15:31:34.24+00,6176345050,341353,42.362677345436204,-71.01863498065062
105,American Flatbread,,76 Guest,Brighton,MA,02135,Active,FS,Eating & Drinking,2017-04-05 14:20:11.01+00,6179034595,422100,42.35711249316074,-71.14448309264024
106,Americano Espresso Bar,,155 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2007-02-13 13:24:51+00,6175938079,94405,42.37385300019875,-71.03888500190234
107,America's Test Kitchen,,21 Dry Dock,Boston,MA,02210,Active,FS,Eating & Drinking,2017-12-14 15:35:55.76+00,6172321000,164542,42.344239512372,-71.03113360993106
108,Amorino,,249 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2014-06-23 18:26:32.913+00,6179539682,101461,42.34975499995038,-71.0827930008613
109,AMRHEIN'S,,80 BROADWAY,SOUTH BOSTON,MA,02127,Active,FS,Eating & Drinking,2006-12-07 18:34:09+00,6172686189,,42.34192584808595,-71.05524118602452
110,Analla Cafe,,117 Blue Hill,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2021-08-04 14:24:24.82+00,6177086171,374499,42.32108000005628,-71.07776000182572
111,ANCHOVIES RESTAURANT,,433 COLUMBUS ,BOSTON,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:36:42+00,6172665088,,42.34404175530509,-71.07786092302679
112,Ancient & Honorable Artillery Company,,200 Faneuil Hall Market,Boston,MA,02109,Active,FS,Eating & Drinking,2007-03-24 15:32:37+00,6172271638,,,
113,Andalus Pizza & Cafe,,153 SUTHERLAND,BRIGHTON,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2007-08-17 13:15:12+00,6179084750,,42.34103647268322,-71.14689846511416
114,ANDREW SQUARE HOUSE OF PIZZA,,395 Dorchester,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2018-09-25 14:15:19.38+00,6172681940,49085,42.33005085524678,-71.05655306520788
115,Angela's Cafe,,131 Lexington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2007-08-02 17:36:55+00,0,85525,42.378530000104426,-71.03500000139368
116,Angela's Cafe II,,1012 Bennington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2016-03-02 16:02:42.33+00,6175695267,162035,42.387115784530934,-71.00630954814206
117,Angry Orchard Bar,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-02-22 16:23:54.477+00,6179825146,424258,42.34673007807398,-71.0986629781914
118,Angry Orchard Concessions,,4 Jersey,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-02-22 16:45:53.97+00,6179825146,424258,42.34673007807398,-71.0986629781914
119,Anna Hand Cut Donuts,,2056 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2025-04-25 16:16:27.48+00,6173232680,157110,42.280014269070314,-71.15819155745722
120,Anna's Cafe,,267 Medford,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2014-10-16 12:21:13.207+00,6174826050,93725,42.38128999948447,-71.06154900067435
121,Anna's Taqueria,,242 Cambridge,Boston,MA,02114,Active,FS,Eating & Drinking,2008-06-09 17:08:50+00,6172278822,25260,42.36092999965096,-71.06710000035147
122,Anna's Taqueria,,295 Devonshire,Boston,MA,02110,Active,FS,Eating & Drinking,2024-12-03 16:30:08.69+00,,164245,42.353979103885834,-71.05799898164766
123,Anna's Taqueria,,354 Longwood,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-07-28 15:57:38.143+00,,343104,42.33898734240272,-71.10769427415768
124,Anna's Taqueria,,359 Huntington,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,2024-07-08 14:28:42.29+00,,365531,42.34019426481486,-71.09010516241054
125,Anna's Taqueria,,457 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2025-11-20 15:08:52.383+00,,21551,42.33574000042904,-71.04639000075062
126,Anna's Taqueria,,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,2017-06-26 16:19:50.24+00,6172622300,157244,42.34729680482496,-71.0814574594804
127,Annie's Bakery & Cafe,,753 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2023-09-01 17:53:00.207+00,6172692186,164672,42.335436185143294,-71.03522727225203
128,Anoush Ella,,35 Newton,Roxbury,MA,02118,Active,FS,Eating & Drinking,2016-09-06 18:05:21.263+00,6175124819,372424,42.33894037253578,-71.07394272927313
129,Anoush' Ella,,201 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2019-04-09 16:28:39.24+00,6175124819,340960,42.34486239691058,-71.10160474147757
130,A & N PIZZA,,1409 Centre,Roslindale,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:14+00,6173232211,27566,42.29413000054996,-71.13674000158454
131,Anshur Restauruant,,291 Roxbury,Roxbury,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2008-09-29 17:44:43+00,6176995306,119179,42.330410000030774,-71.09430000108267
132,ANTICO FORNO,,93 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:46+00,6177428441,157423,42.363742758108536,-71.05559101823417
133,Antonios Bacaro,,1 Fairmount,Hyde Park,MA,02136,Active,FS,Eating & Drinking,2015-07-06 16:12:14.347+00,6179479407,55669,42.25549087055095,-71.12123985436301
134,Antonio's Hi-Fi,,1508 Dorchester,Dorchester,MA,02122,Active,FT,Eating & Drinking w/ Take Out,2014-09-19 17:46:30.743+00,6178429592,48338,42.29929000000392,-71.06025000157221
135,ANTONIO'S ITALIANO CUCINA,,286 Cambridge,Boston,MA,02114,Active,FS,Eating & Drinking,2006-12-07 18:34:35+00,6173673310,25272,42.36095100010714,-71.06816000141947
136,Apex Bar & Lounge,,150 State,Boston,MA,02109,Active,FS,Eating & Drinking,2023-07-06 16:35:59.633+00,,130375,42.359400000087966,-71.05408000178902
137,APM Coffee,,99 Kneeland,Boston,MA,02111,Active,FS,Eating & Drinking,2019-05-07 12:49:57.52+00,,420869,42.34993384581058,-71.0601090151868
138,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,,11A Allstate,Dorchester,MA,02125,Active,FS,Eating & Drinking,2011-10-25 18:06:55+00,6174427139,172685,42.32608733704434,-71.06361143278993
139,Aqua Pazza,,135 Richmond,Boston,MA,02109,Active,FS,Eating & Drinking,2015-12-17 20:39:56.797+00,,352041,42.363280000035026,-71.05408000173554
140,AQUITAINE,,569 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2006-12-07 18:34:59+00,6174248577,157437,42.34380186573195,-71.07235093272077
141,Arboretum Grill,,4021 Washington,Roslindale,MA,02131,Active,FS,Eating & Drinking,2011-10-14 12:30:39+00,6173239100,145067,42.292010000750714,-71.12244000172439
142,ARCHIE'S NEW YORK DELI,,93 Arch,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:36+00,6173305145,161605,42.35504237082629,-71.05912856976859
143,Ariana Restaurant,,123 Antwerp,Brighton,MA,02135,Active,FS,Eating & Drinking,2014-10-30 12:58:29.187+00,6172088072,343305,42.36256693819614,-71.13814902640716
144,Aries Club,,90 Oliver,Boston,MA,02110,Active,FS,Eating & Drinking,2024-05-29 17:15:19.643+00,6173305250,156963,42.35632625022133,-71.0518760535379
145,Aritzia/A-OK Cafe,,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2025-10-15 18:03:07.677+00,6042155268,157244,42.34729680482496,-71.0814574594804
146,Arizona B B Q,,2360 Washington,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2008-03-04 19:08:38+00,6174422999,144493,42.32937000050038,-71.0844600020372
147,ARTU,,6 Prince,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:34:23+00,6177424336,112966,42.3641099997678,-71.05372000078651
148,Arya Trattoria,,253 Hanover,Boston,MA,02109,Active,FS,Eating & Drinking,2013-02-01 18:42:43+00,6177421276,69071,42.36321016915622,-71.05480975847637
149,A Sanctuary Cafe,,80 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,2023-01-12 17:11:46.53+00,,29193,42.358160000395046,-71.07072000132072
150,Ascia Foods,,100 Malcolm X,Roxbury,MA,02120,Active,FS,Eating & Drinking,2020-01-21 13:15:05.823+00,6179593031,340841,42.33090541840585,-71.09337300651339
151,Ashburton Cafe,,1 Ashburton,Boston,MA,02108,Active,FS,Eating & Drinking,2007-04-06 17:51:49+00,6172486886,5052,42.35927600004277,-71.0623590002513
152,ASIAN GARDEN RESTAURANT INC.,,28 HARRISON ,BOSTON,MA,02111,Active,FS,Eating & Drinking,2006-12-07 18:35:32+00,6174263348,,42.35196405510715,-71.06103068237285
153,Asian Thai Eatery,,1064 River,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,2022-11-16 13:38:02.29+00,6173614448,158305,42.258784388185894,-71.11774141014129
